姓名,國文,英文,數學,自然,社會
張牧聿,76,76,97,91,95
謝南慧,89,62,59,66,81
吳淑惠,70,72,88,69,81
許淑婷,91,86,93,90,99
劉旭士,94,62,91,57,53
彭偉妃,64,53,56,97,90
陳筱涵,52,69,76,51,71
黃婷婷,54,72,57,63,68
盧文啟,77,97,54,53,71
高信宏,71,63,63,89,78
高士凱,82,50,78,69,78
張明惟,94,65,65,59,65
周琬婷,82,84,95,64,76
李蓉瑞,78,74,68,95,52
黃志福,97,60,60,67,86
陳建香,82,95,65,73,85
黃婷婷,54,89,69,85,72
翁鈺婷,79,91,88,62,88
王人仰,99,64,58,55,86
謝佳穎,67,69,78,97,95
黃必琪,69,68,92,100,55
黃心航,52,80,89,53,53
黃嘉琪,75,99,55,94,75
郭淑枝,77,59,91,56,88
杜明延,80,99,93,75,68
周怡啟,80,74,87,67,96
陳凱翔,61,73,80,94,75
林希啟,67,89,66,70,68
陳怡容,92,80,61,95,84
賴佳雯,67,77,72,64,56
蔡孟泉,96,97,62,78,95
劉慧君,61,58,99,53,84
高俊男,88,56,76,77,54
林康亮,51,94,74,67,70
吳昕婷,92,75,75,88,93
王梅劭,91,75,52,72,56
林柏洋,75,88,96,82,88
馮耀中,64,98,54,68,100
鄭孟芳,69,64,56,65,66
林思賢,86,50,67,96,65
張婕妤,67,86,67,85,57
王惠皓,99,79,61,68,74
尚偉倫,100,68,87,52,54
洪奎夫,100,81,98,71,76
魏秋萍,56,85,92,52,57
洪阿惠,100,96,61,71,99
李慈啟,62,93,67,66,93
黃奎紹,65,100,71,81,90
林清英,54,71,88,87,98
鍾俞禎,70,57,97,77,70
